TestNumber,QueryNodes,SharingIndexSize,SharingIndexMinDegree
100,{3217 、2901 、,3291,6
100,{2196 、,282,70
100,{346 、3384 、3627 、530 、,3567,4
100,{1448 、2169 、,725,37
100,{2410 、450 、1575 、46 、665 、,3448,5
100,{2396 、2858 、3147 、1787 、,3447,5
100,{2718 、1373 、,1634,20
100,{1198 、1714 、171 、1966 、220 、,3568,4
100,{1341 、759 、3136 、,2926,9
100,{2974 、1081 、,1079,28
100,{2268 、521 、506 、428 、1436 、,2191,15
100,{207 、2962 、2664 、,3669,3
100,{3179 、2434 、,824,35
100,{2839 、1397 、319 、3922 、2157 、,3777,2
100,{3510 、1630 、3527 、,2332,14
100,{685 、,2332,14
100,{2813 、2366 、507 、196 、3108 、,2480,13
100,{375 、2235 、2124 、,1875,17
100,{413 、,2191,15
100,{440 、397 、3056 、3077 、,2612,12
100,{3007 、3593 、3280 、,2044,16
100,{2319 、,282,70
100,{840 、1513 、2181 、3641 、,2800,10
100,{3107 、616 、,2800,10
100,{1990 、3559 、1454 、2443 、,2191,15
100,{1227 、457 、,2612,12
100,{984 、1149 、1238 、2432 、2663 、,2332,14
100,{1473 、599 、3322 、1968 、,3184,7
100,{1358 、2457 、,3846,1
100,{1099 、1421 、334 、1793 、2313 、,2044,16
100,{1652 、3346 、1115 、2176 、,1582,21
100,{1933 、1561 、,2717,11
100,{1228 、160 、161 、2352 、729 、,3778,2
100,{169 、875 、2011 、,3845,1
100,{3631 、1095 、,2800,10
100,{1757 、2541 、2065 、2792 、1515 、,3777,2
100,{3601 、419 、47 、,3777,2
100,{3815 、,2332,14
100,{2644 、1108 、1971 、176 、3614 、,2927,9
100,{810 、3399 、2695 、,2717,11
100,{1155 、,1165,26
100,{2206 、834 、2738 、102 、,3292,6
100,{2279 、3029 、3548 、,3447,5
100,{2307 、,0,0
100,{2046 、3797 、999 、,1405,22
100,{2238 、,2717,11
100,{1307 、138 、1598 、3230 、,3845,1
100,{1242 、3125 、,3777,2
100,{3132 、,725,37
100,{874 、2944 、2389 、938 、,3291,6
100,{2338 、2485 、,283,70
100,{1096 、454 、6 、547 、1784 、,3845,1
100,{3100 、3889 、896 、2451 、,2191,15
100,{2014 、1978 、,2800,10
100,{3367 、363 、1262 、924 、1053 、,3777,2
100,{797 、1917 、672 、,3044,8
100,{381 、1577 、,2612,12
100,{3022 、2505 、2289 、1699 、289 、,3567,4
100,{2532 、3333 、,3185,7
100,{3975 、2472 、1123 、1044 、3293 、,2480,13
100,{3544 、2102 、2409 、,3568,4
100,{735 、,3447,5
100,{166 、750 、401 、3332 、100 、,3777,2
100,{763 、135 、975 、,2800,10
100,{233 、,3777,2
100,{2399 、3136 、1779 、819 、,2612,12
100,{3315 、402 、348 、,2332,14
100,{3854 、,3777,2
100,{2771 、3376 、1018 、1176 、,3777,2
100,{302 、,2191,15
100,{3982 、3627 、1264 、2187 、,3447,5
100,{3240 、3244 、,2480,13
100,{1416 、,282,70
100,{1773 、106 、3891 、3976 、,3043,8
100,{2576 、1578 、,918,33
100,{2525 、1570 、529 、2418 、661 、,2927,9
100,{1634 、2162 、1162 、3005 、,3043,8
100,{2236 、1403 、,2926,9
100,{638 、3527 、3312 、1646 、2401 、,3845,1
100,{587 、3568 、2666 、,2926,9
100,{526 、3188 、,1037,30
100,{16 、2450 、3329 、916 、705 、,3184,7
100,{3777 、1014 、848 、,2800,10
100,{1905 、3484 、2219 、2333 、3460 、,3447,5
100,{3688 、666 、3934 、,3777,2
100,{2248 、,2191,15
100,{3353 、2535 、2923 、3534 、,3291,6
100,{3595 、3560 、1933 、,3669,3
100,{3432 、,3291,6
100,{3195 、875 、1454 、1880 、,3845,1
100,{1675 、440 、2639 、,2612,12
100,{57 、,2612,12
100,{3549 、2274 、2110 、332 、,3184,7
100,{601 、1448 、,1582,21
100,{4011 、,3567,4
100,{1897 、1954 、,1404,22
100,{1028 、2667 、3804 、2797 、3757 、,2480,13
100,{2984 、1525 、758 、3964 、,2480,13
100,{3116 、2064 、,727,37
100,{2526 、2764 、1613 、1166 、1606 、,2481,13
