TestNumber,QueryNodes,TreeIndexSize,TreeIndexMinDegree
100,{861 、,3113,9
100,{17 、982 、2822 、873 、,3478,6
100,{1851 、944 、,1769,21
100,{520 、3349 、3807 、228 、,3964,2
100,{1589 、1460 、,751,40
100,{572 、3515 、1606 、450 、2593 、,3754,4
100,{1066 、574 、,3113,9
100,{439 、2185 、2499 、3016 、1586 、,3856,3
100,{2053 、1119 、1689 、,4039,1
100,{3634 、382 、,2799,12
100,{3192 、1605 、3282 、,3964,2
100,{2740 、3580 、,3964,2
100,{1805 、1051 、3246 、3676 、2970 、,3634,5
100,{2464 、,158,115
100,{2325 、1552 、3233 、258 、988 、,3371,7
100,{2602 、2926 、784 、,3230,8
100,{3951 、,2231,16
100,{1621 、459 、3590 、,2987,10
100,{3221 、,2231,16
100,{3636 、1335 、3774 、1804 、,2667,13
100,{3720 、,3634,5
100,{3943 、699 、107 、2033 、,3964,2
100,{2720 、2764 、,2667,13
100,{1970 、,640,46
100,{2687 、3106 、,1821,20
100,{1522 、3452 、1402 、458 、2717 、,2378,15
100,{3902 、1612 、812 、2108 、,3230,8
100,{2544 、571 、,3856,3
100,{3821 、1104 、2816 、,2904,11
100,{1038 、2270 、,3634,5
100,{366 、729 、3729 、2563 、2830 、,4039,1
100,{2217 、,3371,7
100,{1002 、3839 、920 、2996 、2611 、,3856,3
100,{509 、3368 、168 、,3113,9
100,{217 、1376 、1605 、1067 、,3371,7
100,{146 、1878 、3206 、,3113,9
100,{2096 、,1821,20
100,{3757 、2207 、776 、1677 、,3478,6
100,{3516 、,2799,12
100,{1593 、2973 、455 、3613 、,2799,12
100,{688 、1311 、,1854,20
100,{3117 、237 、231 、1714 、,3371,7
100,{3460 、134 、,2519,14
100,{329 、2420 、3095 、2049 、1378 、,2799,12
100,{3716 、3251 、411 、2497 、,3856,3
100,{3112 、2156 、1133 、213 、3589 、,3964,2
100,{36 、3220 、2493 、,3478,6
100,{2322 、1522 、,1457,23
100,{1105 、280 、2689 、1383 、503 、,3856,3
100,{1655 、31 、,2519,14
100,{1071 、266 、1725 、2109 、2102 、,3856,3
100,{612 、2973 、3943 、,2519,14
100,{1179 、1423 、3912 、1008 、3959 、,3964,2
100,{74 、2980 、1076 、,4039,1
100,{765 、,2667,13
100,{2907 、3676 、3192 、,3634,5
100,{421 、,1894,19
100,{939 、1249 、2339 、3793 、,2519,14
100,{2210 、443 、,3964,2
100,{8 、1639 、3243 、1314 、,3634,5
100,{1215 、519 、,1956,18
100,{3817 、,2904,11
100,{2330 、1201 、,631,47
100,{900 、1509 、2743 、3797 、684 、,2667,13
100,{2220 、2069 、460 、2604 、,1192,31
100,{2301 、1196 、,3478,6
100,{1226 、339 、390 、,3478,6
100,{2593 、3239 、,913,37
100,{3699 、1738 、3576 、3149 、105 、,3856,3
100,{1196 、69 、3708 、,2987,10
100,{507 、3082 、2921 、3738 、3600 、,3371,7
100,{283 、2883 、289 、,3754,4
100,{3978 、,3754,4
100,{888 、2890 、1988 、,3113,9
100,{3280 、,913,37
100,{3691 、3013 、3037 、3367 、,3856,3
100,{410 、1916 、1599 、,3230,8
100,{1829 、3638 、3854 、525 、,3964,2
100,{1939 、2069 、,586,55
100,{1272 、,536,64
100,{704 、3841 、,3634,5
100,{1318 、3350 、2276 、348 、245 、,3634,5
100,{1691 、3564 、1025 、1004 、,2799,12
100,{693 、3087 、3926 、509 、195 、,3113,9
100,{1219 、4022 、1442 、,4039,1
100,{490 、413 、,2904,11
100,{2784 、455 、2570 、,2519,14
100,{1306 、1658 、,1956,18
100,{461 、3203 、1167 、2655 、2242 、,1769,21
100,{344 、,3230,8
100,{797 、3361 、536 、1707 、3749 、,3634,5
100,{3829 、2238 、3133 、,2987,10
100,{791 、3479 、640 、3303 、,3371,7
100,{2703 、1153 、3044 、,3634,5
100,{2880 、,732,43
100,{3775 、654 、,3478,6
100,{453 、,3856,3
100,{1906 、2453 、2181 、2112 、,2987,10
100,{1882 、,1352,26
100,{1581 、1694 、1575 、2212 、,4039,1
