TestNumber,QueryNodes,TreeIndexSize,TreeIndexMinDegree
100,{1471 、2340 、,470,70
100,{1121 、2402 、1132 、1335 、1694 、,2667,13
100,{3352 、1957 、142 、,2667,13
100,{929 、3644 、4014 、2378 、2067 、,3634,5
100,{1651 、83 、3625 、,3754,4
100,{3824 、2880 、3633 、33 、,3964,2
100,{4012 、343 、2348 、,3964,2
100,{3581 、,2799,12
100,{1727 、475 、3380 、,1956,18
100,{3389 、,3371,7
100,{3583 、2704 、,3964,2
100,{69 、,2987,10
100,{301 、489 、1220 、2142 、,3964,2
100,{1630 、3835 、706 、140 、2941 、,3113,9
100,{1080 、1715 、3242 、3661 、,3634,5
100,{2525 、912 、270 、2142 、1996 、,3856,3
100,{2229 、3512 、1778 、,2799,12
100,{3047 、888 、,3113,9
100,{3260 、566 、1819 、,1591,22
100,{576 、,2519,14
100,{2219 、2734 、762 、707 、1288 、,3634,5
100,{1631 、,3113,9
100,{133 、2294 、1168 、3135 、3612 、,3478,6
100,{2310 、2987 、1973 、,1591,22
100,{3521 、1797 、3759 、3460 、,3754,4
100,{2333 、511 、852 、,3754,4
100,{2998 、,3856,3
100,{238 、247 、,3856,3
100,{1850 、,1591,22
100,{2397 、252 、1488 、827 、,2231,16
100,{3816 、960 、2275 、2037 、2438 、,3856,3
100,{289 、577 、2879 、3142 、,3754,4
100,{3652 、209 、2571 、1224 、950 、,4039,1
100,{2649 、1982 、2814 、2729 、,3964,2
100,{2934 、2557 、,2519,14
100,{2895 、3966 、3321 、,3230,8
100,{1351 、901 、,1457,23
100,{3218 、2665 、1535 、3074 、2224 、,3634,5
100,{3310 、,3634,5
100,{96 、1076 、2808 、3594 、3262 、,3856,3
100,{1287 、,544,63
100,{627 、3138 、147 、1562 、,3634,5
100,{2997 、3093 、3896 、,3113,9
100,{1743 、3176 、724 、691 、,3478,6
100,{1522 、2470 、1809 、,4039,1
100,{4003 、,3634,5
100,{3936 、2837 、,3478,6
100,{1332 、,1352,26
100,{1767 、1438 、329 、1956 、,3478,6
100,{1295 、2277 、2219 、3707 、2336 、,3634,5
100,{266 、2517 、347 、3211 、,3478,6
100,{3840 、1296 、,2904,11
100,{1168 、78 、2518 、,3478,6
100,{19 、1538 、,3371,7
100,{3413 、514 、2977 、2724 、2902 、,3856,3
100,{1782 、466 、,3113,9
100,{586 、1384 、1140 、623 、860 、,3964,2
100,{727 、1906 、860 、,3964,2
100,{3083 、2554 、1393 、3224 、3989 、,3754,4
100,{648 、1292 、309 、,3964,2
100,{1909 、,1457,23
100,{2728 、2737 、30 、,2519,14
100,{3045 、,3478,6
100,{1721 、3974 、3372 、2918 、,4039,1
100,{1108 、,1012,35
100,{2379 、2772 、1830 、1773 、,2231,16
100,{3626 、2902 、,3478,6
100,{1462 、1521 、2656 、2332 、,3478,6
100,{367 、1631 、,3113,9
100,{2140 、2890 、2894 、716 、256 、,3964,2
100,{2332 、55 、,2061,17
100,{2206 、2802 、3701 、2064 、3475 、,2987,10
100,{3382 、189 、2635 、,3371,7
100,{1568 、30 、3677 、1785 、2363 、,2519,14
100,{2124 、798 、977 、,3754,4
100,{2289 、,470,70
100,{3154 、3673 、413 、,3754,4
100,{3594 、,2799,12
100,{2591 、1988 、2992 、2457 、,4039,1
100,{2389 、,1457,23
100,{1692 、1068 、1147 、537 、,3634,5
100,{2519 、1052 、1893 、,1591,22
100,{2237 、193 、3018 、3628 、,3754,4
100,{2516 、759 、,3113,9
100,{2821 、,2799,12
100,{1012 、1718 、,1366,25
100,{241 、2829 、4 、229 、3947 、,3964,2
100,{3051 、1906 、3132 、1626 、,1821,20
100,{2158 、1409 、2414 、1236 、1146 、,2987,10
100,{958 、61 、3198 、,3856,3
100,{246 、3646 、2068 、3560 、2488 、,3856,3
100,{1532 、1750 、1690 、,3964,2
100,{1397 、2036 、,2231,16
100,{2684 、1230 、2980 、,3634,5
100,{3247 、,913,37
100,{3517 、2317 、836 、,2904,11
100,{3780 、,2667,13
100,{1351 、2987 、2194 、1414 、,3230,8
100,{3141 、,3230,8
100,{1077 、1450 、1595 、1267 、,2667,13
